Opportunity Number,Supplies Subgroup,Supplies Group,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Deal Size Category,Lat,Lon,Country_Code,Country
,Motorcycle Parts,Performance & Non-auto,Loss,1,0,0,200000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
,Replacement Parts,Car Accessories,Loss,4,27,27,250000,1,1,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
,Interior Accessories,Car Accessories,Loss,5,1,1,80000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
,Tires & Wheels,Tires & Wheels,Loss,4,0,0,350000,1,1,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
,Exterior Accessories,Car Accessories,Loss,2,0,0,25000,1,1,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
,Garage & Car Care,Car Accessories,Loss,1,0,0,250000,1,1,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
,Replacement Parts,Car Accessories,Loss,5,25,25,20000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
,Batteries & Accessories,Car Accessories,Loss,2,4,4,916,1,1,4,Unknown,1,-16.130262,-63.808594,1,Bolivia
,Replacement Parts,Car Accessories,Won,2,11,11,70000,1,1,1,Unknown,4,-16.130262,-63.808594,1,Bolivia
,Motorcycle Parts,Performance & Non-auto,Loss,2,4,4,100000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
,Towing & Hitches,Car Accessories,Loss,3,7,7,105000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
,Motorcycle Parts,Performance & Non-auto,Loss,3,8,8,20000,1,1,0,None,2,-16.130262,-63.808594,1,Bolivia
10001129,Replacement Parts,Car Accessories,Won,4,3,3,15000,1,1,2,Unknown,2,-16.130262,-63.808594,1,Bolivia
10002203,Motorcycle Parts,Performance & Non-auto,Loss,2,0,0,4000,1,1,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
10002445,Garage & Car Care,Car Accessories,Won,2,3,3,20000,1,1,3,Unknown,2,-16.130262,-63.808594,1,Bolivia
10002922,Garage & Car Care,Car Accessories,Loss,2,3,3,100000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
10002982,Motorcycle Parts,Performance & Non-auto,Loss,1,0,0,40000,1,1,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
10015262,Exterior Accessories,Car Accessories,Loss,1,0,0,10000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
10016608,Motorcycle Parts,Performance & Non-auto,Won,4,3,1,220,1,1,1,Unknown,1,-16.130262,-63.808594,1,Bolivia
10017911,Exterior Accessories,Car Accessories,Won,2,2,2,2000,1,1,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
10027930,Batteries & Accessories,Car Accessories,Loss,2,1,1,150000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
10028031,Shelters & RV,Performance & Non-auto,Loss,2,0,0,16000,1,1,0,Known,2,-16.130262,-63.808594,1,Bolivia
10028235,Exterior Accessories,Car Accessories,Loss,1,0,0,10000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
10041162,Garage & Car Care,Car Accessories,Won,2,1,1,1000,1,1,0,None,1,-16.130262,-63.808594,1,Bolivia
10043544,Replacement Parts,Car Accessories,Won,3,2,1,845000,1,1,0,Unknown,7,-16.130262,-63.808594,1,Bolivia
10045298,Motorcycle Parts,Performance & Non-auto,Won,2,2,2,110000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
10045371,Motorcycle Parts,Performance & Non-auto,Won,2,2,2,30500,1,1,1,Unknown,3,-16.130262,-63.808594,1,Bolivia
10050245,Batteries & Accessories,Car Accessories,Won,1,0,0,500000,1,1,0,Unknown,7,-16.130262,-63.808594,1,Bolivia
10058330,Exterior Accessories,Car Accessories,Loss,2,0,0,330000,1,1,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
10061158,Towing & Hitches,Car Accessories,Loss,1,0,0,60000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
10072868,Performance Parts,Performance & Non-auto,Won,2,0,0,95000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
4383726,Shelters & RV,Performance & Non-auto,Loss,7,80,80,150000,1,1,4,Unknown,5,-16.130262,-63.808594,1,Bolivia
4835059,Motorcycle Parts,Performance & Non-auto,Won,5,34,34,416,1,1,0,Known,1,-16.130262,-63.808594,1,Bolivia
4835152,Shelters & RV,Performance & Non-auto,Loss,8,101,101,250000,1,1,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
4877822,Shelters & RV,Performance & Non-auto,Loss,8,128,128,90000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5052457,Performance Parts,Performance & Non-auto,Loss,5,85,31,51000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5140714,Motorcycle Parts,Performance & Non-auto,Loss,5,152,152,50000,1,2,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5164147,Shelters & RV,Performance & Non-auto,Loss,6,125,125,35073,2,1,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
5182350,Shelters & RV,Performance & Non-auto,Loss,14,91,91,120000,1,1,0,Known,5,-16.130262,-63.808594,1,Bolivia
5246939,Garage & Car Care,Car Accessories,Won,5,1,1,7000,4,5,0,None,1,-16.130262,-63.808594,1,Bolivia
5250076,Shelters & RV,Performance & Non-auto,Loss,3,113,113,150000,5,1,0,None,5,-16.130262,-63.808594,1,Bolivia
5262443,Exterior Accessories,Car Accessories,Won,7,29,29,8690,1,1,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
5317935,Exterior Accessories,Car Accessories,Loss,4,64,64,50000,1,1,0,Known,4,-16.130262,-63.808594,1,Bolivia
5332243,Motorcycle Parts,Performance & Non-auto,Loss,4,82,46,60000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5332281,Motorcycle Parts,Performance & Non-auto,Loss,5,90,90,100000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5341115,Towing & Hitches,Car Accessories,Won,7,43,37,550000,1,1,0,Unknown,7,-16.130262,-63.808594,1,Bolivia
5395660,Shelters & RV,Performance & Non-auto,Loss,6,61,61,60000,2,2,0,Known,4,-16.130262,-63.808594,1,Bolivia
5396931,Shelters & RV,Performance & Non-auto,Loss,7,101,101,50000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5407495,Towing & Hitches,Car Accessories,Loss,10,49,49,60000,1,1,0,Known,4,-16.130262,-63.808594,1,Bolivia
5421870,Interior Accessories,Car Accessories,Loss,3,61,61,50000,1,1,0,Known,4,-16.130262,-63.808594,1,Bolivia
5434143,Replacement Parts,Car Accessories,Loss,5,57,57,60000,1,1,0,Known,4,-16.130262,-63.808594,1,Bolivia
5487018,Garage & Car Care,Car Accessories,Loss,6,80,80,140000,4,1,0,Known,5,-16.130262,-63.808594,1,Bolivia
5509475,Shelters & RV,Performance & Non-auto,Loss,2,70,70,150000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5534420,Motorcycle Parts,Performance & Non-auto,Loss,6,61,61,55000,5,4,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5575555,Car Electronics,Car Electronics,Won,5,16,12,8000,1,5,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
5582343,Replacement Parts,Car Accessories,Loss,3,52,0,150000,3,5,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5611030,Shelters & RV,Performance & Non-auto,Loss,2,106,106,250000,1,1,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
5635337,Performance Parts,Performance & Non-auto,Loss,3,48,48,0,1,3,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
5658472,Exterior Accessories,Car Accessories,Won,7,59,58,200000,2,2,0,Known,5,-16.130262,-63.808594,1,Bolivia
5664513,Batteries & Accessories,Car Accessories,Loss,4,34,34,150000,1,3,0,None,5,-16.130262,-63.808594,1,Bolivia
5667510,Performance Parts,Performance & Non-auto,Loss,4,58,58,120000,5,2,0,Known,5,-16.130262,-63.808594,1,Bolivia
5671482,Performance Parts,Performance & Non-auto,Won,5,25,25,15000,1,1,0,None,2,-16.130262,-63.808594,1,Bolivia
5680443,Motorcycle Parts,Performance & Non-auto,Won,9,24,22,170000,1,1,0,Known,5,-16.130262,-63.808594,1,Bolivia
5710539,Batteries & Accessories,Car Accessories,Loss,2,109,109,60000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5727176,Shelters & RV,Performance & Non-auto,Won,5,8,8,160000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5729777,Motorcycle Parts,Performance & Non-auto,Loss,4,46,46,500000,1,1,0,Unknown,7,-16.130262,-63.808594,1,Bolivia
5737120,Shelters & RV,Performance & Non-auto,Loss,4,45,45,100000,1,5,3,Unknown,5,-16.130262,-63.808594,1,Bolivia
5742725,Tires & Wheels,Tires & Wheels,Loss,6,55,55,150000,5,2,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5749006,Motorcycle Parts,Performance & Non-auto,Loss,5,39,39,5000,1,1,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
5749329,Motorcycle Parts,Performance & Non-auto,Loss,7,44,44,20000,2,5,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
5758381,Exterior Accessories,Car Accessories,Won,9,37,36,10000,3,2,2,Known,2,-16.130262,-63.808594,1,Bolivia
5759042,Exterior Accessories,Car Accessories,Loss,2,45,45,100000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5770298,Exterior Accessories,Car Accessories,Loss,11,67,67,400000,1,3,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
5786799,Motorcycle Parts,Performance & Non-auto,Loss,6,71,71,35000,1,1,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
5792990,Shelters & RV,Performance & Non-auto,Loss,7,42,42,150000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5793356,Exterior Accessories,Car Accessories,Won,4,8,8,13000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
5799668,Exterior Accessories,Car Accessories,Won,3,13,13,25000,2,4,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
5799683,Garage & Car Care,Car Accessories,Won,4,4,4,5000,3,2,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
5817314,Motorcycle Parts,Performance & Non-auto,Loss,5,42,42,45000,1,1,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
5822310,Performance Parts,Performance & Non-auto,Loss,5,42,42,200000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5832422,Garage & Car Care,Car Accessories,Loss,3,57,57,400000,1,4,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
5832957,Replacement Parts,Car Accessories,Loss,5,53,53,77000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5835731,Exterior Accessories,Car Accessories,Loss,4,65,65,300000,1,1,0,Known,6,-16.130262,-63.808594,1,Bolivia
5835755,Batteries & Accessories,Car Accessories,Loss,4,40,40,90000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5842752,Garage & Car Care,Car Accessories,Loss,4,69,33,3000,1,1,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
5842760,Garage & Car Care,Car Accessories,Loss,6,68,68,3000,1,1,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
5842765,Garage & Car Care,Car Accessories,Loss,4,69,33,3000,1,1,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
5842780,Garage & Car Care,Car Accessories,Loss,6,68,68,3000,1,1,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
5855741,Shelters & RV,Performance & Non-auto,Loss,4,9,9,50000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5859041,Motorcycle Parts,Performance & Non-auto,Loss,2,78,78,110000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5859092,Shelters & RV,Performance & Non-auto,Loss,7,59,59,80000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5859282,Replacement Parts,Car Accessories,Won,5,12,12,93000,4,3,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5865486,Batteries & Accessories,Car Accessories,Won,5,36,27,285000,1,1,3,Known,6,-16.130262,-63.808594,1,Bolivia
5879786,Replacement Parts,Car Accessories,Loss,6,67,67,37000,1,3,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
5883058,Motorcycle Parts,Performance & Non-auto,Loss,6,77,77,60000,1,1,0,Known,4,-16.130262,-63.808594,1,Bolivia
5895315,Exterior Accessories,Car Accessories,Loss,3,39,39,200000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5896537,Replacement Parts,Car Accessories,Won,4,10,10,276000,1,1,1,Unknown,6,-16.130262,-63.808594,1,Bolivia
5897459,Shelters & RV,Performance & Non-auto,Loss,7,39,39,105000,3,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5897636,Motorcycle Parts,Performance & Non-auto,Loss,2,39,39,200000,5,5,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5898529,Exterior Accessories,Car Accessories,Loss,12,65,65,100000,1,1,0,Known,5,-16.130262,-63.808594,1,Bolivia
5898742,Garage & Car Care,Car Accessories,Won,3,6,6,166000,4,5,0,Known,5,-16.130262,-63.808594,1,Bolivia
5899007,Shelters & RV,Performance & Non-auto,Loss,4,39,29,2000,1,1,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
5899072,Replacement Parts,Car Accessories,Won,7,8,6,27000,1,1,1,Unknown,3,-16.130262,-63.808594,1,Bolivia
5910316,Shelters & RV,Performance & Non-auto,Loss,3,38,38,150000,1,1,0,Known,5,-16.130262,-63.808594,1,Bolivia
5914701,Batteries & Accessories,Car Accessories,Won,4,8,8,153676,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
5925673,Exterior Accessories,Car Accessories,Loss,4,1,1,250000,1,5,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
5933951,Shelters & RV,Performance & Non-auto,Loss,9,71,71,101000,5,2,0,Known,5,-16.130262,-63.808594,1,Bolivia
5938515,Motorcycle Parts,Performance & Non-auto,Loss,4,34,34,20000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
5938596,Batteries & Accessories,Car Accessories,Loss,6,107,107,400000,1,1,3,Unknown,6,-16.130262,-63.808594,1,Bolivia
5952185,Replacement Parts,Car Accessories,Won,9,18,17,13500,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
5954843,Interior Accessories,Car Accessories,Loss,4,21,21,60000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5965929,Towing & Hitches,Car Accessories,Loss,8,35,35,25000,1,1,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
5970450,Performance Parts,Performance & Non-auto,Loss,4,86,86,110000,4,5,0,Known,5,-16.130262,-63.808594,1,Bolivia
5976576,Replacement Parts,Car Accessories,Loss,3,88,36,7000,2,1,0,Known,1,-16.130262,-63.808594,1,Bolivia
5979797,Exterior Accessories,Car Accessories,Won,5,42,33,40000,1,1,1,Unknown,3,-16.130262,-63.808594,1,Bolivia
5981049,Replacement Parts,Car Accessories,Loss,3,37,37,300000,3,5,0,Known,6,-16.130262,-63.808594,1,Bolivia
5989305,Batteries & Accessories,Car Accessories,Loss,6,76,76,50000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5989328,Batteries & Accessories,Car Accessories,Loss,5,68,68,50000,3,3,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
5989496,Motorcycle Parts,Performance & Non-auto,Loss,5,72,72,125000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
6003697,Shelters & RV,Performance & Non-auto,Loss,9,60,60,105000,1,4,0,Known,5,-16.130262,-63.808594,1,Bolivia
6007629,Motorcycle Parts,Performance & Non-auto,Won,3,4,4,649500,1,1,0,Known,7,-16.130262,-63.808594,1,Bolivia
6011845,Exterior Accessories,Car Accessories,Won,5,20,14,15000,1,1,0,Known,2,-16.130262,-63.808594,1,Bolivia
6016618,Garage & Car Care,Car Accessories,Loss,3,35,35,54050,2,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
6019717,Exterior Accessories,Car Accessories,Won,3,39,39,3,5,2,4,None,1,-16.130262,-63.808594,1,Bolivia
6023523,Motorcycle Parts,Performance & Non-auto,Loss,2,60,60,100000,5,5,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
6023536,Shelters & RV,Performance & Non-auto,Won,6,28,27,15586,3,5,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6024110,Exterior Accessories,Car Accessories,Loss,4,32,32,30000,4,3,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
6026919,Batteries & Accessories,Car Accessories,Won,4,55,42,75000,1,1,0,None,4,-16.130262,-63.808594,1,Bolivia
6027385,Exterior Accessories,Car Accessories,Loss,4,34,34,0,1,3,0,Known,1,-16.130262,-63.808594,1,Bolivia
6031406,Exterior Accessories,Car Accessories,Won,4,30,19,0,2,2,0,Known,1,-16.130262,-63.808594,1,Bolivia
6032155,Shelters & RV,Performance & Non-auto,Loss,8,37,37,10000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6032168,Shelters & RV,Performance & Non-auto,Loss,6,37,37,15000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6034985,Batteries & Accessories,Car Accessories,Loss,6,41,41,290000,5,5,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
6035355,Replacement Parts,Car Accessories,Loss,2,106,106,55000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
6035721,Exterior Accessories,Car Accessories,Won,2,0,0,20000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6038443,Replacement Parts,Car Accessories,Loss,4,60,19,90000,4,3,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
6046245,Batteries & Accessories,Car Accessories,Loss,3,44,44,50000,1,5,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
6046775,Shelters & RV,Performance & Non-auto,Loss,4,50,50,120000,1,4,0,Known,5,-16.130262,-63.808594,1,Bolivia
6046790,Batteries & Accessories,Car Accessories,Loss,2,41,41,120000,1,2,0,Known,5,-16.130262,-63.808594,1,Bolivia
6047994,Motorcycle Parts,Performance & Non-auto,Loss,5,73,73,15000,1,5,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6048051,Shelters & RV,Performance & Non-auto,Loss,3,46,46,15000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6050781,Towing & Hitches,Car Accessories,Loss,2,33,33,150000,1,1,3,Known,5,-16.130262,-63.808594,1,Bolivia
6051168,Shelters & RV,Performance & Non-auto,Loss,3,59,59,200000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
6051473,Replacement Parts,Car Accessories,Loss,2,74,74,100000,1,1,0,Known,5,-16.130262,-63.808594,1,Bolivia
6051553,Batteries & Accessories,Car Accessories,Loss,5,72,72,55000,1,5,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
6051834,Batteries & Accessories,Car Accessories,Loss,5,105,105,75000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
6055478,Motorcycle Parts,Performance & Non-auto,Loss,5,79,79,100000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
6061789,Towing & Hitches,Car Accessories,Loss,4,31,31,21000,5,5,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6063134,Exterior Accessories,Car Accessories,Loss,8,32,32,30000,1,1,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
6067711,Exterior Accessories,Car Accessories,Loss,11,20,20,60000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
6070537,Garage & Car Care,Car Accessories,Loss,9,34,34,15000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6073834,Replacement Parts,Car Accessories,Loss,4,59,59,100000,1,1,0,Known,5,-16.130262,-63.808594,1,Bolivia
6075028,Motorcycle Parts,Performance & Non-auto,Loss,5,59,59,15000,1,5,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6079948,Motorcycle Parts,Performance & Non-auto,Won,8,102,102,325000,1,2,4,Known,6,-16.130262,-63.808594,1,Bolivia
6080486,Batteries & Accessories,Car Accessories,Won,3,35,12,16000,2,3,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6084969,Batteries & Accessories,Car Accessories,Won,5,19,3,10000,3,2,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6085040,Garage & Car Care,Car Accessories,Won,3,11,11,7000,1,4,1,Unknown,1,-16.130262,-63.808594,1,Bolivia
6092044,Replacement Parts,Car Accessories,Won,8,42,39,455538,1,1,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
6092341,Motorcycle Parts,Performance & Non-auto,Loss,7,55,55,36460,2,2,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
6094781,Shelters & RV,Performance & Non-auto,Loss,2,0,0,200000,2,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
6103137,Replacement Parts,Car Accessories,Won,6,17,17,5000,3,2,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
6107078,Exterior Accessories,Car Accessories,Won,5,37,35,1000,1,1,0,Known,1,-16.130262,-63.808594,1,Bolivia
6107312,Garage & Car Care,Car Accessories,Won,3,9,9,5320,3,3,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
6110996,Batteries & Accessories,Car Accessories,Loss,4,52,52,250000,1,1,0,Known,6,-16.130262,-63.808594,1,Bolivia
6114939,Motorcycle Parts,Performance & Non-auto,Loss,2,103,103,300000,1,1,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
6118917,Towing & Hitches,Car Accessories,Won,4,10,10,20000,1,1,0,None,2,-16.130262,-63.808594,1,Bolivia
6119075,Motorcycle Parts,Performance & Non-auto,Loss,5,57,57,15000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6119463,Exterior Accessories,Car Accessories,Won,7,26,26,200000,1,3,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
6122527,Replacement Parts,Car Accessories,Loss,3,30,30,100000,5,3,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
6123910,Batteries & Accessories,Car Accessories,Won,3,28,28,300000,1,1,3,Unknown,6,-16.130262,-63.808594,1,Bolivia
6126366,Garage & Car Care,Car Accessories,Won,3,3,3,3000,1,4,1,Unknown,1,-16.130262,-63.808594,1,Bolivia
6126424,Motorcycle Parts,Performance & Non-auto,Loss,5,12,12,3000,1,5,0,Known,1,-16.130262,-63.808594,1,Bolivia
6137261,Garage & Car Care,Car Accessories,Loss,2,36,36,300000,5,1,0,Known,6,-16.130262,-63.808594,1,Bolivia
6141209,Batteries & Accessories,Car Accessories,Won,5,10,10,5000,1,5,0,Known,1,-16.130262,-63.808594,1,Bolivia
6144512,Towing & Hitches,Car Accessories,Won,4,36,36,320000,1,1,0,Unknown,6,-16.130262,-63.808594,1,Bolivia
6145292,Motorcycle Parts,Performance & Non-auto,Loss,4,39,39,150000,1,2,0,None,5,-16.130262,-63.808594,1,Bolivia
6145586,Batteries & Accessories,Car Accessories,Loss,4,28,28,50000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
6145595,Motorcycle Parts,Performance & Non-auto,Loss,2,30,30,120000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
6145618,Batteries & Accessories,Car Accessories,Loss,4,56,56,100000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
6147587,Batteries & Accessories,Car Accessories,Loss,3,32,32,50000,1,1,0,Known,4,-16.130262,-63.808594,1,Bolivia
6147851,Performance Parts,Performance & Non-auto,Loss,2,30,30,90000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
6148418,Motorcycle Parts,Performance & Non-auto,Loss,5,56,56,15000,3,4,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6155567,Replacement Parts,Car Accessories,Loss,2,29,29,60000,4,5,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
6165658,Exterior Accessories,Car Accessories,Loss,3,28,28,10000,3,3,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6172693,Exterior Accessories,Car Accessories,Loss,4,28,28,15000,5,2,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
6172792,Motorcycle Parts,Performance & Non-auto,Loss,6,46,46,40000,2,2,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
6173336,Batteries & Accessories,Car Accessories,Loss,2,55,55,100000,3,2,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
